"['2013-04-12', '107.89', '108.2699', '107.31', '107.68', '2111387', 'MMM', 106.08, 1.0151, 104.84, 1.0271]"
"['2013-04-15', '107.15', '107.91', '105.74', '105.76', '3677319', 'MMM', 106.05, 0.9973, 104.86, 1.0086]"
"['2013-04-16', '106.69', '106.85', '105.7001', '106.15', '2636835', 'MMM', 106.09, 1.0006, 104.89, 1.012]"
"['2013-04-17', '105.47', '105.8', '104.93', '105.48', '3155340', 'MMM', 106.1, 0.9942, 104.9, 1.0055]"
"['2013-04-18', '105.84', '105.97', '104.28', '104.98', '3144693', 'MMM', 106.07, 0.9897, 104.9, 1.0008]"
"['2013-04-19', '105.31', '105.88', '104.82', '105.71', '3323701', 'MMM', 106.11, 0.9962, 104.92, 1.0075]"
"['2013-04-22', '105.71', '106.1', '105.14', '105.8', '2646729', 'MMM', 106.07, 0.9975, 104.94, 1.0082]"
"['2013-04-23', '106.24', '107.51', '105.86', '107.39', '3209753', 'MMM', 106.19, 1.0113, 105.03, 1.0225]"
"['2013-04-24', '107.61', '108.15', '107.24', '107.87', '3238113', 'MMM', 106.28, 1.015, 105.14, 1.026]"
"['2013-04-25', '104.46', '105.64', '103.5', '104.88', '9026991', 'MMM', 106.26, 0.987, 105.16, 0.9973]"
"['2013-04-26', '104.97', '105.18', '103.46', '103.79', '3359384', 'MMM', 106.13, 0.978, 105.18, 0.9868]"
"['2013-04-29', '103.91', '104.2', '102.89', '103.83', '2903008', 'MMM', 106.04, 0.9792, 105.2, 0.987]"
"['2013-04-30', '103.98', '104.74', '102.97', '104.71', '3769701', 'MMM', 105.95, 0.9883, 105.23, 0.9951]"
"['2013-05-01', '104.78', '105.12', '104.42', '104.55', '3258868', 'MMM', 105.89, 0.9873, 105.24, 0.9934]"
"['2013-05-02', '105.04', '106.375', '104.91', '106.04', '3120040', 'MMM', 105.9, 1.0013, 105.3, 1.007]"
"['2013-05-03', '106.96', '108.6', '106.85', '107.83', '3013051', 'MMM', 106.0, 1.0173, 105.4, 1.0231]"
"['2013-05-06', '107.63', '107.99', '107.45', '107.84', '2174314', 'MMM', 106.11, 1.0163, 105.49, 1.0223]"
"['2013-05-07', '107.61', '108.371', '107.55', '108.01', '2235501', 'MMM', 106.21, 1.0169, 105.61, 1.0227]"
"['2013-05-08', '108.03', '108.29', '107.77', '108.2', '2654353', 'MMM', 106.24, 1.0184, 105.73, 1.0234]"
"['2013-05-09', '108.11', '110.51', '108.11', '109.92', '4486923', 'MMM', 106.32, 1.0339, 105.86, 1.0384]"
"['2013-05-10', '110.08', '110.64', '109.75', '110.48', '2993677', 'MMM', 106.46, 1.0378, 105.99, 1.0424]"
"['2013-05-13', '109.99', '110.72', '109.71', '110.5', '2045328', 'MMM', 106.7, 1.0356, 106.12, 1.0413]"
"['2013-05-14', '110.32', '110.79', '110.27', '110.59', '2482692', 'MMM', 106.92, 1.0343, 106.27, 1.0407]"
"['2013-05-15', '110.4', '111.715', '110.29', '111.5', '2912537', 'MMM', 107.22, 1.0399, 106.41, 1.0478]"
"['2013-05-16', '111.21', '111.7', '110.95', '111.07', '2685808', 'MMM', 107.53, 1.0329, 106.54, 1.0425]"
"['2013-05-17', '111.16', '111.78', '110.94', '111.39', '4060681', 'MMM', 107.81, 1.0332, 106.67, 1.0442]"
"['2013-05-20', '111.13', '112.055', '110.96', '111.72', '2457246', 'MMM', 108.11, 1.0334, 106.79, 1.0462]"
"['2013-05-21', '112.11', '112.34', '111.52', '112.01', '2474001', 'MMM', 108.34, 1.0339, 106.92, 1.0476]"
"['2013-05-22', '111.59', '112.29', '110.57', '110.79', '3833236', 'MMM', 108.48, 1.0213, 107.03, 1.0351]"
